date,category,region,post_count
2026-05-30,domestic_travel,광명,3
2026-05-30,domestic_travel,광주,6
2026-05-30,domestic_travel,광화문,9
2026-05-30,domestic_travel,교대,4
2026-05-30,domestic_travel,구리,2
2026-05-30,domestic_travel,김포,2
2026-05-30,domestic_travel,남산,2
2026-05-30,domestic_travel,남양주,8
2026-05-30,domestic_travel,대구,3
2026-05-30,domestic_travel,대전,8
2026-05-30,domestic_travel,대학로,4
2026-05-30,domestic_travel,더현대서울,9
2026-05-30,domestic_travel,동대문,5
2026-05-30,domestic_travel,뚝섬,1
2026-05-30,domestic_travel,마곡,1
2026-05-30,domestic_travel,마포,5
2026-05-30,domestic_travel,명동,7
2026-05-30,domestic_travel,문래,3
2026-05-30,domestic_travel,방배,1
2026-05-30,domestic_travel,부산,14
2026-05-30,domestic_travel,사당,4
2026-05-30,domestic_travel,삼성,5
2026-05-30,domestic_travel,서울숲,2
2026-05-30,domestic_travel,서초,7
2026-05-30,domestic_travel,서촌,3
2026-05-30,domestic_travel,석촌,1
2026-05-30,domestic_travel,석촌호수,1
2026-05-30,domestic_travel,선릉,2
2026-05-30,domestic_travel,성수,14
2026-05-30,domestic_travel,속초,6
2026-05-30,domestic_travel,송도,2
2026-05-30,domestic_travel,송리단길,1
2026-05-30,domestic_travel,송파,3
2026-05-30,domestic_travel,수원,2
2026-05-30,domestic_travel,시청,2
2026-05-30,domestic_travel,신사,3
2026-05-30,domestic_travel,안국,1
2026-05-30,domestic_travel,압구정,3
2026-05-30,domestic_travel,양양,3
2026-05-30,domestic_travel,양재,4
2026-05-30,domestic_travel,양평,9
2026-05-30,domestic_travel,여수,5
2026-05-30,domestic_travel,여의도,7
2026-05-30,domestic_travel,역삼,2
2026-05-30,domestic_travel,연남동,3
2026-05-30,domestic_travel,올림픽공원,1
2026-05-30,domestic_travel,왕십리,3
2026-05-30,domestic_travel,용산,19
2026-05-30,domestic_travel,을지로,12
2026-05-30,domestic_travel,의정부,2
2026-05-30,domestic_travel,익선동,1
2026-05-30,domestic_travel,인사동,2
2026-05-30,domestic_travel,인천,19
2026-05-30,domestic_travel,잠실,5
2026-05-30,domestic_travel,전주,8
2026-05-30,domestic_travel,제주,9
2026-05-30,domestic_travel,종로,18
2026-05-30,domestic_travel,천호,3
2026-05-30,domestic_travel,춘천,7
2026-05-30,domestic_travel,코엑스,1
2026-05-30,domestic_travel,파주,7
2026-05-30,domestic_travel,포항,3
2026-05-30,domestic_travel,하남,1
2026-05-30,domestic_travel,한남동,3
2026-05-30,domestic_travel,합정,2
2026-05-30,domestic_travel,해방촌,1
2026-05-30,domestic_travel,혜화,4
2026-05-30,domestic_travel,홍대,7
2026-05-30,food,가로수길,2
2026-05-30,food,가평,13
2026-05-30,food,강남,39
2026-05-30,food,강동,3
2026-05-30,food,강릉,3
2026-05-30,food,건대,4
2026-05-30,food,경주,6
2026-05-30,food,고양,1
2026-05-30,food,공덕,1
2026-05-30,food,과천,1
2026-05-30,food,광주,4
2026-05-30,food,광화문,23
2026-05-30,food,교대,6
2026-05-30,food,구리,1
2026-05-30,food,김포,3
2026-05-30,food,남산,4
2026-05-30,food,남양주,5
2026-05-30,food,노량진,2
2026-05-30,food,대구,6
2026-05-30,food,대전,7
2026-05-30,food,대학로,6
