category,region,candidate_name,candidate_type,blog_post_count,query,attempted_queries,matched_query,match_status,match_type,match_score,naver_place_title,naver_place_category,naver_place_description,address,roadAddress,mapx,mapy,naver_place_link,sample_titles,sample_links
domestic_travel,강릉,사근진해변,travel_spot,2,강릉 사근진해변,강릉 사근진해변,강릉 사근진해변,verified,exact_place,90,사근진해변,"여행,명소>해수욕장,해변",,강원특별자치도 강릉시 안현동 2-7,강원특별자치도 강릉시 해안로604번길 16,1288990719,378128825,http://sagunjin.co.kr,[강릉 여행 ]엄마와 함께 떠난 강원도 강릉/2박3일|6월의 강원 추천 여행 지는? 강릉 단오제! 화천 파크골프장!,https://blog.naver.com/pricuae123/224301699781|https://blog.naver.com/gwdoraeyo/224297862469
domestic_travel,강릉,안목해변,travel_spot,2,강릉 안목해변,강릉 안목해변,강릉 안목해변,verified,exact_place,90,안목해변,"여행,명소>해수욕장,해변",,강원특별자치도 강릉시 견소동 287-112,강원특별자치도 강릉시 창해로14번길 20-1,1289477906,377725747,http://anmokbeach.co.kr,"[강릉 여행 ]엄마와 함께 떠난 강원도 강릉/2박3일|강릉 안목해변 차박, 일출 하나로 유명해진 이유",https://blog.naver.com/pricuae123/224301699781|https://blog.naver.com/medic3939/224300583314
domestic_travel,광주,연화식당,restaurant,2,광주 연화식당,광주 연화식당,광주 연화식당,verified,exact_place,90,연화식당,"한식>육류,고기요리",,광주광역시 서구 치평동 241-3 아트빌,광주광역시 서구 마륵복개로 147 아트빌,1268530929,351478649,,"광주 연화식당 혼밥, 육전 때문에 찾았다가 오히려 분위기가 더...|광주 연화식당 가기 전 꼭 볼 정보: 육전·키조개전 메뉴부터...",https://blog.naver.com/attageogi/224301554331|https://blog.naver.com/flemznls1/224301794817
domestic_travel,대전,중앙시장,travel_spot,2,대전 중앙시장,대전 중앙시장,대전 중앙시장,verified,exact_place,90,중앙시장,"쇼핑,유통>시장",,대전광역시 동구 중동 317,대전광역시 동구 중앙로 200-1,1274319380,363298389,,대전|대전중앙시장 내돈내산 맛집 리스트 솔이네계란빵...|대전이 이렇게 좋았어? 당일치기 여행 코스 Best5,https://blog.naver.com/mugja30/224301865406|https://blog.naver.com/whqufdl37/224301687117
domestic_travel,부산,화명생태공원,travel_spot,2,부산 화명생태공원,부산 화명생태공원,부산 화명생태공원,verified,exact_place,90,화명생태공원,"여행,명소>자연,생태공원",,부산광역시 북구 화명동 1718-17,부산광역시 북구,1290041500,352310095,http://www.busan.go.kr/nakdong/hwamyungpark01,6월 7월 부산북구 덕천 금빛 노을 브릿지 여행 추천 주변...|오늘도 만보걷기!,https://blog.naver.com/kdspmj12/224301514888|https://blog.naver.com/bassing82/224301776918
domestic_travel,전주,덕진공원,travel_spot,2,전주 덕진공원,전주 덕진공원,전주 덕진공원,verified,exact_place,80,전주덕진공원,"여행,명소>근린공원",,전북특별자치도 전주시 덕진구 덕진동1가 1316-2 전주덕진공원,전북특별자치도 전주시 덕진구 권삼득로 390-1 전주덕진공원,1271227180,358479519,https://blog.naver.com/jeonjudeokjinpark,"[전주 여행 ] 덕진공원, 전주 온다면 꼭 들려야 할 숨은 명소!|전주 덕진공원 야경 산책 낮보단 밤이 아름답다",https://blog.naver.com/01yuchan/224301752002|https://blog.naver.com/yarn76/224301821831
domestic_travel,강릉,사천해변,travel_spot,2,강릉 사천해변,강릉 사천해변,강릉 사천해변,verified,exact_place,80,사천해변,"여행,명소>해수욕장,해변",,강원특별자치도 강릉시 사천면,,1288784877,378300323,http://sacheonbeach.co.kr,"[강릉/사천] 오월의 사천 바다를 잔에 담다, 아들과 함께한...|여름 바다에서 즐기는 차박 캠핑 명소 5곳",https://blog.naver.com/cozzingzzing/224301855216|https://blog.naver.com/rdkeiuy1384/224295237297
domestic_travel,전주,남부시장야시장,travel_spot,2,전주 남부시장야시장,전주 남부시장야시장 | 남부시장야시장,전주 남부시장야시장,review,weak_match,60,남부시장야시장 황금옷삼겹강정,음식점>푸드트럭,,전북특별자치도 전주시 완산구 전동3가 24-1 1층,전북특별자치도 전주시 완산구 풍남문4길 8 1층,1271468000,358127370,https://www.instagram.com/gold_samgup?igsh=MWFoY2c2cXpvdTh1dg%3D%3D&utm_source=qr,전주 풍남헌 고택 (한옥스테이) AGODA 아고다 할인받기!!|전주 여행 마지막 밤은 남부시장 야시장으로,https://blog.naver.com/agoda_klook_/224301010240|https://blog.naver.com/harangru/224301226263
domestic_travel,가평,자라섬 꽃축제,attraction,6,가평 자라섬 꽃축제,가평 자라섬 꽃축제 | 자라섬 꽃축제 | 자라섬,가평 자라섬 꽃축제,review,event_on_place,50,자라섬 불 꽃축제,"여행,명소>꽃축제",,경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,가평 자라섬 꽃축제 2026 총정리｜남도꽃정원 봄꽃페스타...|자라섬 꽃축제 2026 방문 전 꼭 볼 입장료·주차·꽃 절정 타이밍|자라섬 꽃축제 2026 지금 가기 전 꼭 볼 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 될까? 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 좋을까? 입장료·개화시기·동선...,https://blog.naver.com/123whywhy/224299354360|https://blog.naver.com/yhking119/224299046910|https://blog.naver.com/flemznls1/224298925262|https://blog.naver.com/betterthanever0810/224298653145|https://blog.naver.com/kim582777/224298626268
domestic_travel,가평,자라섬꽃축제,attraction,4,가평 자라섬꽃축제,가평 자라섬꽃축제 | 자라섬꽃축제 | 자라섬,가평 자라섬꽃축제,review,event_on_place,50,자라섬 불 꽃축제,"여행,명소>꽃축제",,경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,2026 자라섬 꽃 페스타 총정리｜위치·기간·입장료·주차...|서울 근교 꽃구경 추천! 가평 자라섬 꽃 페스타에서 만나는...|2026 자라섬 꽃 페스타 꽃축제|일정 주차 할인 꿀팁|가평 가볼만한곳 추천 2026 자라섬 꽃축제 다녀온 후기,https://blog.naver.com/boxbox45/224300172384|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/nizekk/224299703527|https://blog.naver.com/sitimibi85/224297294108
domestic_travel,가평,경기도꽃축제,attraction,2,가평 경기도꽃축제,가평 경기도꽃축제 | 경기도꽃축제 | 경기도,가평 경기도꽃축제,review,event_on_place,50,자라섬불 꽃축제,"여행,명소>꽃축제",,경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,2026 자라섬 꽃 페스타 총정리｜위치·기간·입장료·주차...|2026 자라섬 꽃 페스타 다녀왔어요! 지금이 가장 예쁠 때,https://blog.naver.com/boxbox45/224300172384|https://blog.naver.com/kyju6507/224297372051
domestic_travel,가평,아침고요수목원 수국축제,attraction,2,가평 아침고요수목원 수국축제,가평 아침고요수목원 수국축제 | 아침고요수목원 수국축제 | 아침고요수목원,아침고요수목원,review,event_on_place,50,아침고요수목원,"여행,명소>식물원,수목원",,경기도 가평군 상면 행현리 623-3,경기도 가평군 상면 수목원로 432,1273525250,377427259,https://www.instagram.com/morningcalm_garden/,아침고요수목원 수국축제 2026! 기간·찾아가는 길·포토스팟...|가평 아침고요수목원 수국축제 다녀온 후기 사진으로 보던...,https://blog.naver.com/myeong0820/224301121414|https://blog.naver.com/nana_school/224301394724
domestic_travel,대전,대청호 장미축제,attraction,5,대전 대청호 장미축제,대전 대청호 장미축제 | 대청호 장미축제 | 대청호,대청호,review,event_on_place,40,대청호 반자연수변공원,"여행,명소>도시,테마공원",,대전광역시 동구 추동 328,,1274743212,363727846,,"대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대청호 장미축제는 지금 장미꽃들이 만개 중♡|“ 서울 보다 덜 알려져 더 예쁜 대전 대청호 장미축제”|대전 대청호 장미축제 가볼 만할까? 주차·개화현황·포토존 총정리|대청호 장미축제, 인기이유 후기",https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/angel79satan/224301819560|https://blog.naver.com/3050035/224295646828|https://blog.naver.com/sldighd1863/224301792243|https://blog.naver.com/kkangpaetokkieeee/224301184821
food,대전,대청호 장미축제,attraction,2,대전 대청호 장미축제,대전 대청호 장미축제 | 대청호 장미축제 | 대청호,대청호,review,event_on_place,40,대청호 반자연수변공원,"여행,명소>도시,테마공원",,대전광역시 동구 추동 328,,1274743212,363727846,,"대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대청호 장미축제, 인기이유 후기",https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/kkangpaetokkieeee/224301184821
domestic_travel,대전,대청호장미축제,attraction,2,대전 대청호장미축제,대전 대청호장미축제 | 대청호장미축제 | 대청호,대청호,review,event_on_place,40,대청호 반자연수변공원,"여행,명소>도시,테마공원",,대전광역시 동구 추동 328,,1274743212,363727846,,대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대전 대청호 장미축제 가볼 만할까? 주차·개화현황·포토존 총정리,https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/sldighd1863/224301792243
domestic_travel,부산,장승포호텔,travel_spot,2,부산 장승포호텔,부산 장승포호텔 | 장승포호텔,장승포호텔,review,alias_match,30,하운드 호텔 거제 장승포 점,숙박>호텔,,경상남도 거제시 장승포동 490,경상남도 거제시 능포로 52,1287269459,348695669,https://blog.naver.com/hhjsp0711,주차장 최신 사진 업데이트|쉬러 가는 거제,https://blog.naver.com/hhjsp0711/224301274711|https://blog.naver.com/hhjsp0711/224301209568
food,광주,전현무계획3 광주 맛집,restaurant,2,광주 전현무계획3 광주 맛집,광주 전현무계획3 광주 맛집 | 전현무계획3 광주 맛집 | 전현무계획3 광주,,rejected,no_result,0,,,,,,,,,"전현무계획3 광주 맛집 3곳 한 번에 정리｜육전·돼지국밥...|전현무계획3 광주 맛집 3 코스 정리: 국밥·오리탕·육전, 방문...",https://blog.naver.com/e150934/224301849679|https://blog.naver.com/flemznls1/224301796267
