post_id,inferred_category,confidence,matched_keywords
7939e13c6db72741,food,0.75,맛집|점심|웨이팅
7939e13c6db72741,domestic_travel,0.25,나들이
66ca0e2d0ade3119,food,0.50,맛집|점심
efa45fd55de7ebea,food,0.63,맛집|점심|추천
e7090ae8fb2653ca,food,0.50,맛집|점심
38c5d2e5308e956d,food,1.00,맛집|점심|카페|방문|추천|데이트
38c5d2e5308e956d,domestic_travel,0.38,방문|추천|데이트
6c0228bdc37fe9c1,food,1.00,맛집|메뉴|점심|고기
b4e54a3278bfa9ca,food,0.50,맛집|점심
251fa8766ac1e15f,food,0.63,맛집|점심|방문
03da740e04877d5c,food,0.75,맛집|메뉴|점심
3d71b47f3e5371b0,food,0.88,맛집|점심|저녁|방문
3d71b47f3e5371b0,domestic_travel,0.38,시장|방문
22d9722968df32c6,food,0.75,맛집|식당|점심
fb97a9ad385d0e40,food,1.00,맛집|메뉴|점심|저녁|추천
01a02118408968f6,food,0.75,맛집|점심|카페
807fdafe3d787787,food,0.75,맛집|점심|브런치
8a9b8b855979c403,food,0.50,맛집|점심
70a1cd8e3704ec5f,food,0.88,맛집|점심|다이닝|방문
f9eb77c4fe2fc872,food,0.75,맛집|점심|카페
dd1f79eaa562a9e0,food,0.75,맛집|점심|웨이팅
349e9523127142d9,food,0.75,맛집|점심|웨이팅
d80409af55896933,food,1.00,맛집|식당|점심|방문|후기
d80409af55896933,domestic_travel,0.25,방문|후기
cdaa92d63bb21e6b,food,0.75,맛집|점심|저녁
29e5b5ccc5215874,food,0.63,맛집|점심|추천
194ef0c589fb2324,food,0.50,맛집|점심
6830d61ef3c5664a,food,1.00,맛집|점심|저녁|방문|추천
6830d61ef3c5664a,domestic_travel,0.25,방문|추천
80cdd69301c79705,food,0.63,맛집|점심|후기
36dac856c9232d6b,food,0.63,맛집|점심|방문
02588993ba9fa742,food,1.00,맛집|메뉴|점심|저녁|고기|추천
1d5a99317f983c96,food,0.75,맛집|메뉴|점심
2277d3b3226bc904,food,0.63,맛집|점심|후기
5bb6b731fb61fc56,food,0.75,맛집|점심|카페
0525d74b410c8dfc,food,0.63,맛집|점심|추천
36cfce12201a70d8,food,0.63,맛집|점심|후기
2e856283ddd881e7,food,1.00,맛집|점심|저녁|라멘
75b28e2c5f38f1ac,food,0.75,맛집|점심|디저트
4c9120d0923abbd6,food,0.75,맛집|점심|웨이팅
d6624b901f71f22b,food,0.75,맛집|메뉴|점심
de63b13022156f1e,food,0.88,맛집|점심|고기|추천
5b002be46c118f03,food,0.75,맛집|점심|저녁
5b002be46c118f03,domestic_travel,0.25,시장
d090a299c0cc15ae,food,0.75,맛집|점심|웨이팅
d4c7519fb25cb733,food,0.50,맛집|점심
d4c7519fb25cb733,domestic_travel,0.25,가볼만한곳
8dca4fe1905b2c51,food,1.00,맛집|점심|저녁|고기|추천
ece5a0e9052e1c94,food,0.63,맛집|점심|방문
5095d6b026d0d297,food,0.75,맛집|메뉴|점심
07706ebd9abcd10a,food,0.50,맛집|점심
5d0b230efe4b1e41,food,0.50,맛집|점심
df60a195e924121f,food,0.50,맛집|점심
960832092aaf99c5,food,1.00,맛집|메뉴|점심|카페|방문
960832092aaf99c5,domestic_travel,0.38,바다|방문
b0ea91f7561e6c40,food,0.63,맛집|점심|방문
1663329f88446b92,food,0.75,맛집|식당|점심
07b669a3025f2bf5,food,0.75,맛집|식당|점심
be5102bdb2143fa5,food,0.50,맛집|점심
b1bebb684df9f31e,food,0.50,맛집|점심
