rank,date,category,region,display_name,official_place_name,event_name,alias_name,match_type,candidate_type,naver_place_category,blog_post_count,today_count,previous_average,lift,match_score,hot_score,address,roadAddress,mapx,mapy,naver_place_link,sample_titles,sample_links
11,2026-05-31,domestic_travel,부산,화명생태공원,화명생태공원,,,exact_place,travel_spot,"여행,명소>자연,생태공원",2,2,0.00,4.00,90,7.2,부산광역시 북구 화명동 1718-17,부산광역시 북구,1290041500,352310095,http://www.busan.go.kr/nakdong/hwamyungpark01,6월 7월 부산북구 덕천 금빛 노을 브릿지 여행 추천 주변...|오늘도 만보걷기!,https://blog.naver.com/kdspmj12/224301514888|https://blog.naver.com/bassing82/224301776918
12,2026-05-31,domestic_travel,전주,전주덕진공원,전주덕진공원,,,exact_place,travel_spot,"여행,명소>근린공원",2,2,0.00,4.00,80,6.4,전북특별자치도 전주시 덕진구 덕진동1가 1316-2 전주덕진공원,전북특별자치도 전주시 덕진구 권삼득로 390-1 전주덕진공원,1271227180,358479519,https://blog.naver.com/jeonjudeokjinpark,"[전주 여행 ] 덕진공원, 전주 온다면 꼭 들려야 할 숨은 명소!|전주 덕진공원 야경 산책 낮보단 밤이 아름답다",https://blog.naver.com/01yuchan/224301752002|https://blog.naver.com/yarn76/224301821831
13,2026-05-31,domestic_travel,강릉,사천해변,사천해변,,,exact_place,travel_spot,"여행,명소>해수욕장,해변",2,2,0.00,4.00,80,6.4,강원특별자치도 강릉시 사천면,,1288784877,378300323,http://sacheonbeach.co.kr,"[강릉/사천] 오월의 사천 바다를 잔에 담다, 아들과 함께한...|여름 바다에서 즐기는 차박 캠핑 명소 5곳",https://blog.naver.com/cozzingzzing/224301855216|https://blog.naver.com/rdkeiuy1384/224295237297
14,2026-05-31,domestic_travel,가평,아침고요수목원 봄나들이 봄꽃축제,아침고요수목원 봄나들이 봄꽃축제,,,exact_place,attraction,"여행,명소>꽃축제",4,,,,90,3.6,경기도 가평군 상면 임초리 629-13,,1273521916,377425540,http://korean.visitkorea.or.kr/kor/inut/where/festival/festival.jsp?cid=989991,2026 자라섬 꽃페스타 가평 꽃축제 후기 (입장료·주차...|서울 근교 꽃구경 추천! 가평 자라섬 꽃 페스타에서 만나는...|2026 자라섬 꽃 페스타 다녀왔어요! 지금이 가장 예쁠 때|이번 주말 놓치면 1년을 후회합니다! 2026 자라섬 꽃 페스타...,https://blog.naver.com/mmmmbin/224300575415|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/kyju6507/224297372051|https://blog.naver.com/kebaake/224301775851
15,2026-05-31,domestic_travel,대전,대청호장미축제,대청호 반자연수변공원,대청호장미축제,,event_on_place,attraction,"여행,명소>도시,테마공원",2,2,0.00,4.00,40,3.2,대전광역시 동구 추동 328,,1274743212,363727846,,대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대전 대청호 장미축제 가볼 만할까? 주차·개화현황·포토존 총정리,https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/sldighd1863/224301792243
16,2026-05-31,domestic_travel,가평,자라섬 꽃축제,자라섬 불 꽃축제,자라섬 꽃축제,,event_on_place,attraction,"여행,명소>꽃축제",6,,,,50,3,경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,가평 자라섬 꽃축제 2026 총정리｜남도꽃정원 봄꽃페스타...|자라섬 꽃축제 2026 방문 전 꼭 볼 입장료·주차·꽃 절정 타이밍|자라섬 꽃축제 2026 지금 가기 전 꼭 볼 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 될까? 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 좋을까? 입장료·개화시기·동선...,https://blog.naver.com/123whywhy/224299354360|https://blog.naver.com/yhking119/224299046910|https://blog.naver.com/flemznls1/224298925262|https://blog.naver.com/betterthanever0810/224298653145|https://blog.naver.com/kim582777/224298626268
17,2026-05-31,domestic_travel,대전,대청호 장미축제,대청호 반자연수변공원,대청호 장미축제,,event_on_place,attraction,"여행,명소>도시,테마공원",5,3,1.00,2.00,40,2.4,대전광역시 동구 추동 328,,1274743212,363727846,,"대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대청호 장미축제는 지금 장미꽃들이 만개 중♡|“ 서울 보다 덜 알려져 더 예쁜 대전 대청호 장미축제”|대전 대청호 장미축제 가볼 만할까? 주차·개화현황·포토존 총정리|대청호 장미축제, 인기이유 후기",https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/angel79satan/224301819560|https://blog.naver.com/3050035/224295646828|https://blog.naver.com/sldighd1863/224301792243|https://blog.naver.com/kkangpaetokkieeee/224301184821
18,2026-05-31,food,종로,광장시장,광장시장,,,exact_place,travel_spot,"쇼핑,유통>시장",3,2,1.00,1.33,90,2.39,서울특별시 종로구 예지동 2-1,서울특별시 종로구 창경궁로 88,1269990691,375701661,http://kwangjangmarket.co.kr/,"광장시장 자매육회집 육회비빕밥 후기|광장시장 맛집 전라도횟집 내돈내산 후기｜모둠회 2인 25...|광장시장 먹거리 투어 후기, 줄 서서 먹은 맛집 4곳",https://blog.naver.com/veritavitia/224301838148|https://blog.naver.com/oburi-/224301407518|https://blog.naver.com/yellowbabo/224301203451
19,2026-05-31,domestic_travel,가평,자라섬꽃축제,자라섬 불 꽃축제,자라섬꽃축제,,event_on_place,attraction,"여행,명소>꽃축제",4,,,,50,2,경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,2026 자라섬 꽃 페스타 총정리｜위치·기간·입장료·주차...|서울 근교 꽃구경 추천! 가평 자라섬 꽃 페스타에서 만나는...|2026 자라섬 꽃 페스타 꽃축제|일정 주차 할인 꿀팁|가평 가볼만한곳 추천 2026 자라섬 꽃축제 다녀온 후기,https://blog.naver.com/boxbox45/224300172384|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/nizekk/224299703527|https://blog.naver.com/sitimibi85/224297294108
20,2026-05-31,domestic_travel,가평,고고다이노 키즈호텔,고고다이노 키즈호텔,,,exact_place,travel_spot,숙박>펜션,2,,,,90,1.8,경기도 가평군 설악면 사룡리 595-3 고고다이노 키즈호텔,경기도 가평군 설악면 자잠로 229 고고다이노 키즈호텔,1274881086,376944931,http://gogodinokids-hotel.kr/,서울근교 여행 가평 고고다이노 키즈호텔 특가 예약(테마룸...|고고다이노 키즈호텔 첫 단독 특가 52% 할인 32 → 14만...,https://blog.naver.com/shy0917cjh/224300583214|https://blog.naver.com/bean_urse/224298476039
21,2026-05-31,domestic_travel,강릉,안목해변,안목해변,,,exact_place,travel_spot,"여행,명소>해수욕장,해변",2,,,,90,1.8,강원특별자치도 강릉시 견소동 287-112,강원특별자치도 강릉시 창해로14번길 20-1,1289477906,377725747,http://anmokbeach.co.kr,"[강릉 여행 ]엄마와 함께 떠난 강원도 강릉/2박3일|강릉 안목해변 차박, 일출 하나로 유명해진 이유",https://blog.naver.com/pricuae123/224301699781|https://blog.naver.com/medic3939/224300583314
22,2026-05-31,domestic_travel,가평,경기도꽃축제,자라섬불 꽃축제,경기도꽃축제,,event_on_place,attraction,"여행,명소>꽃축제",2,,,,50,1,경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,2026 자라섬 꽃 페스타 총정리｜위치·기간·입장료·주차...|2026 자라섬 꽃 페스타 다녀왔어요! 지금이 가장 예쁠 때,https://blog.naver.com/boxbox45/224300172384|https://blog.naver.com/kyju6507/224297372051
23,2026-05-31,domestic_travel,가평,아침고요수목원 수국축제,아침고요수목원,아침고요수목원 수국축제,,event_on_place,attraction,"여행,명소>식물원,수목원",2,,,,50,1,경기도 가평군 상면 행현리 623-3,경기도 가평군 상면 수목원로 432,1273525250,377427259,https://www.instagram.com/morningcalm_garden/,아침고요수목원 수국축제 2026! 기간·찾아가는 길·포토스팟...|가평 아침고요수목원 수국축제 다녀온 후기 사진으로 보던...,https://blog.naver.com/myeong0820/224301121414|https://blog.naver.com/nana_school/224301394724
24,2026-05-31,food,대전,대청호 장미축제,대청호 반자연수변공원,대청호 장미축제,,event_on_place,attraction,"여행,명소>도시,테마공원",2,,,,40,0.8,대전광역시 동구 추동 328,,1274743212,363727846,,"대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대청호 장미축제, 인기이유 후기",https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/kkangpaetokkieeee/224301184821
25,2026-05-31,domestic_travel,부산,장승포호텔,하운드 호텔 거제 장승포 점,,장승포호텔,alias_match,travel_spot,숙박>호텔,2,,,,30,0.6,경상남도 거제시 장승포동 490,경상남도 거제시 능포로 52,1287269459,348695669,https://blog.naver.com/hhjsp0711,주차장 최신 사진 업데이트|쉬러 가는 거제,https://blog.naver.com/hhjsp0711/224301274711|https://blog.naver.com/hhjsp0711/224301209568
