rank,term,count,seed_queries,sample_titles,sample_links
29,제주여행,15,가볼만한곳|핫플,제주 서귀포 치유의숲 입니다 | 제주도 제주 카멜리아힐 가족여행 데이트 코스 | 제주 체험농장제이샘_제주애플망고빙수 만들기,https://blog.naver.com/ikje1225/224301811952 | https://blog.naver.com/healyou_/224301785895 | https://blog.naver.com/jm8714/224301697689
30,감성카페,14,가볼만한곳|데이트|핫플,브런치 카페 감성 가득! 에그 베네딕트와 상큼한 레몬에이드의... | [제주 동쪽 감성 카페 추천 ]김녕해수욕장 근처 카페... | 압구정로데오 숨은 감성 명소! 전시도 보고 에이드도 즐긴...,https://blog.naver.com/pj32742/224301810376 | https://blog.naver.com/harugirok21/224301798207 | https://blog.naver.com/syaysa1/224301675008
31,강릉 가볼만한곳,14,가볼만한곳,"강릉 여행 코스, 실내외 매력 비교와 실패 없는 강릉놀거리 꿀팁 | 강릉감자닭강정 중앙시장 포장 후기 강릉맛집 추천 | 강릉 가족 여행 야끼니꾸 테짱 강릉 유메모리 대관령 맛집",https://blog.naver.com/jja0412/224301769893 | https://blog.naver.com/editorc/224301823035 | https://blog.naver.com/kikitravellife/224301770363
32,데이트 룩,14,데이트,로엠 하트넥 롱 원피스 RMOWF38RT5 가격 대비 만족도 | 로엠 트위드 자켓 RMJKF4TS51 가격 대비 만족도 | 슬림 골지 언발 오프숄더 니트 nt5191 가격 사용기,https://blog.naver.com/answngks562/224301830350 | https://blog.naver.com/ghkdthwjd53253/224301829882 | https://blog.naver.com/dppled51577/224301781403
33,성수 핫플,14,핫플,뚝섬역 맛집 술있는식탁 다양한 전통주와 마장동 육회가 있는 곳 | 한국에 이 차가 있다고? 차덕후들 난리 난 성수동 S팩토리... | 성수동 중식 성수역 밥집 전자방｜NCT 해찬도 즐겨먹는 성수동...,https://blog.naver.com/jinlicious/224301821046 | https://blog.naver.com/lawyer-rider/224301768235 | https://blog.naver.com/kimnakji/224301679006
34,일상블로그,14,가볼만한곳|데이트|팝업|핫플,"♂️ 남편 머리 펌 해준 날, 소소한 일상 기록 | 장원영 두쫀쿠 대란! 2시간 오픈런의 추억과 팔레트 디저트... | 청주 망고빙수 맛집 추천, 카페 다올 다녀온 후기",https://blog.naver.com/csr2326/224301812444 | https://blog.naver.com/mingdi_couple/224301833078 | https://blog.naver.com/ssunpa/224301799416
35,강원도여행,13,가볼만한곳|핫플,강원도 속초 여행 | 카시아 속초 호텔 앤 리조트 | 동해 바다 여행 | 아기랑 가기 좋은곳 강원도 양양 트리플 리조트 | 동해 현지인도 반한 무릉별유천지 알파인코스터 체험기,https://blog.naver.com/kmj00312/224301813538 | https://blog.naver.com/sat504054/224301783918 | https://blog.naver.com/pinkjuma/224301785074
36,광주 핫플,13,핫플,"전대술집 한신포차 광주용봉점 역시 근본 닭발맛집 | [52번째 맛집 탐방] 광주 용봉동 맛쓰리, 어르신 부부의 정성과... | 광주 용봉동 전철우사거리 맛집 [ 황금회포차 광주용봉점 ]",https://blog.naver.com/cherishj_7/224301744159 | https://blog.naver.com/crazymet2/224301805962 | https://blog.naver.com/464tpwls/224301775936
37,주말 나들이,13,가볼만한곳|나들이,"8살 아들과 함께한 등산,산보다 아들이 더 높았다 | 접이식 자전거, 티티카카 V10 HD의 놀라운 반전! | 주말에 가족과 뭐하지? 북한산 승가사 가족등산 후기...",https://blog.naver.com/isdn7799/224301832589 | https://blog.naver.com/lkycy47/224301828865 | https://blog.naver.com/miracle_moneybags/224301806360
38,커피맛집,13,가볼만한곳|데이트|서울|일상|핫플,"압구정 스탠다드시스템 | 메탈 냄새 세게나는 우드톤 느좋카페... | 초당옥수크림라떼 미금역 카페 본디커피 미금역 본점 | 청주 망고빙수 맛집 추천, 카페 다올 다녀온 후기",https://blog.naver.com/oomnyaam/224300016620 | https://blog.naver.com/hyehwa2bundang/224301824293 | https://blog.naver.com/ssunpa/224301799416
