post_id,source_category,seed,link
3c8801f9f77ce368,food,맛집,https://blog.naver.com/lucia-0707/224301955484
955363c404110749,food,맛집,https://blog.naver.com/gigi514/224301955178
970691f44f8230c4,food,맛집,https://blog.naver.com/oldage7788/224301955136
ab4390ee7a97f938,food,맛집,https://blog.naver.com/ssjj5044/224301955021
cf8dab160ad71149,food,맛집,https://blog.naver.com/cilina80/224301955507
b16c0754e4873bec,food,맛집,https://blog.naver.com/eunlee__-/224301955188
3a71c6818703fa77,food,맛집,https://blog.naver.com/ui_ji_ni_/224301954749
ebc75451984b448a,food,맛집,https://blog.naver.com/vapinglounge_nsd/224301955151
f85656aaf42be5a6,food,맛집,https://blog.naver.com/qudwn56467/224301955260
a28de215a95c1c69,food,맛집,https://blog.naver.com/rmmqq6431/224301821789
5e1edc8c8a57767c,food,맛집,https://blog.naver.com/ssbigman/224301954002
826c3f32ccd8fe05,food,맛집,https://blog.naver.com/oosojin/224301953770
774bc6c48ac030ff,food,맛집,https://blog.naver.com/garden_tales/224301954020
891dc6fcc783a053,food,맛집,https://blog.naver.com/rkswlwoddl84/224301953823
3b2fb2069610f542,food,맛집,https://blog.naver.com/seulgi6125/224301954278
d3f21b4df4903466,food,맛집,https://blog.naver.com/cococurtain/224301954099
e61c01981cadb543,food,맛집,https://blog.naver.com/lhi123123/224296310252
119efeeb57f70b85,food,맛집,https://blog.naver.com/ghqmdrx/224299340109
da9fcba5370ec706,food,맛집,https://blog.naver.com/uproadk/224301953930
87aec9ba5d61242e,food,맛집,https://blog.naver.com/siamomlog/224301929484
ccfdffc40d32ce0a,food,맛집,https://blog.naver.com/dbswlslwsbd/224301953895
2f210c473cf4fe04,food,맛집,https://blog.naver.com/du-d_d-njs/224301954478
806e6f6dc6f91739,food,맛집,https://blog.naver.com/lovxstart/224301954397
71cda600053bf35f,food,맛집,https://blog.naver.com/hy2_2yj/224301954093
19d1788888b38b10,food,맛집,https://blog.naver.com/lilly_always/224301954394
0684034c60a6378e,food,맛집,https://blog.naver.com/choe_writer/224301954404
98e685fc3474a4c4,food,맛집,https://blog.naver.com/gpdldovmf2/224301954047
290198fe0a737d87,food,맛집,https://blog.naver.com/hat1599/224301954491
a8a86c62ce07ca38,food,맛집,https://blog.naver.com/bloom_sua/224301774410
