rank,category,region,candidate_name,candidate_type,post_count,sample_titles,sample_links
2248,domestic_travel,부산,서울축제,attraction,1,2026년 6월 가볼만한 축제 총정리! 여름 시작 전 꼭 가야 할 곳,https://blog.naver.com/mint_review/224287521186
2249,food,강남,서울파인다이닝,restaurant,1,"화려한 기교 대신 식재료 본연의 가치로 승부하는 곳, 면 서울",https://blog.naver.com/sblue183/224301098827
2250,food,강남,서울한식다이닝,restaurant,1,"화려한 기교 대신 식재료 본연의 가치로 승부하는 곳, 면 서울",https://blog.naver.com/sblue183/224301098827
2251,food,제주,서쪽,candidate,1,제주 혼자여행 1인 숙소 추천｜제주 서쪽 10만원 이하 가성비...,https://blog.naver.com/sonigatto/224301941830
2252,domestic_travel,제주,서쪽,candidate,1,제주 혼자여행 1인 숙소 추천｜제주 서쪽 10만원 이하 가성비...,https://blog.naver.com/sonigatto/224301941830
2253,food,제주,서쪽 10만원 이하 가성비 저도 마지막 날,candidate,1,제주 혼자여행 1인 숙소 추천｜제주 서쪽 10만원 이하 가성비...,https://blog.naver.com/sonigatto/224301941830
2254,domestic_travel,제주,서쪽 10만원 이하 가성비 저도 마지막 날,candidate,1,제주 혼자여행 1인 숙소 추천｜제주 서쪽 10만원 이하 가성비...,https://blog.naver.com/sonigatto/224301941830
2255,food,제주,서쪽은 바다 꽃 감성 카페 맛집 이 골고루,cafe,1,제주도 여행 비용 절약하는 코스 제주도 서쪽 가볼만한곳 5곳,https://blog.naver.com/sin961027/224301954353
2256,domestic_travel,제주,서쪽은 바다 꽃 감성 카페 맛집 이 골고루,cafe,1,제주도 여행 비용 절약하는 코스 제주도 서쪽 가볼만한곳 5곳,https://blog.naver.com/sin961027/224301954353
2257,domestic_travel,제주,서천 장항항 꼴갑축제,attraction,1,서천 장항항 꼴갑축제 불꽃놀이 명당부터 먹거리까지? 입안...,https://blog.naver.com/project-jaden/224300682190
2258,food,종로,서촌레스토랑,restaurant,1,정통 스위스 가정집 라 스위스 서촌 내돈내산 솔직후기,https://blog.naver.com/yejin4752/224301062190
2259,food,대전,석갈비,candidate,1,대전 석갈비 맛집 9층 삼오식당 주차 상견례 부모님 식당 추천,https://blog.naver.com/2sora1113/224301936942
2260,domestic_travel,대전,석갈비,candidate,1,대전 석갈비 맛집 9층 삼오식당 주차 상견례 부모님 식당 추천,https://blog.naver.com/2sora1113/224301936942
2261,food,대전,석갈비 맛집 9층 삼오식당,restaurant,1,대전 석갈비 맛집 9층 삼오식당 주차 상견례 부모님 식당 추천,https://blog.naver.com/2sora1113/224301936942
2262,domestic_travel,대전,석갈비 맛집 9층 삼오식당,restaurant,1,대전 석갈비 맛집 9층 삼오식당 주차 상견례 부모님 식당 추천,https://blog.naver.com/2sora1113/224301936942
2263,food,대구,석대동 77 전화 앞에서 볼 수 있어서 아이,candidate,1,부산 아기랑 가볼만한 곳 해운대 수목원 방문 후기|양떼 자연...,https://blog.naver.com/bbang10_22/224301908201
2264,domestic_travel,대구,석대동 77 전화 앞에서 볼 수 있어서 아이,candidate,1,부산 아기랑 가볼만한 곳 해운대 수목원 방문 후기|양떼 자연...,https://blog.naver.com/bbang10_22/224301908201
2265,domestic_travel,제주,선물가게,candidate,1,제주 탐나는전 10% 소품샵 선물가게 제주소나이 마그넷,https://blog.naver.com/normaler0_0/224301609151
2266,domestic_travel,인천,선재도의 선재해수욕장이 정답입니다 대부도와,candidate,1,"""물때 못 맞추면 낭패""… 선재해수욕장 방문 전 필수 체크할...",https://blog.naver.com/tour_toctoc/224301685694
2267,food,제주,선흘방주할머니식당,restaurant,1,"[제주 조천 맛집] 선흘방주할머니식당, 제주세계자연유산센터와...",https://blog.naver.com/happy_n_rich/224301324842
2268,domestic_travel,제주,선흘방주할머니식당,restaurant,1,"[제주 조천 맛집] 선흘방주할머니식당, 제주세계자연유산센터와...",https://blog.naver.com/happy_n_rich/224301324842
2269,food,제주,설성공원,travel_spot,1,[2026 음성품바축제 총정리] 초대가수 라인업부터 주차 꿀팁...,https://blog.naver.com/trendnews/224301296365
2270,domestic_travel,제주,설성공원,travel_spot,1,[2026 음성품바축제 총정리] 초대가수 라인업부터 주차 꿀팁...,https://blog.naver.com/trendnews/224301296365
2271,domestic_travel,가평,설악면,candidate,1,가평 설악면 가볼만한곳 북한강 뷰가 아름다운 신선봉 순환...,https://blog.naver.com/behappy1004life/224301889165
2272,domestic_travel,가평,설악면 가볼만한곳 북한강 뷰가 아름다운 신선,candidate,1,가평 설악면 가볼만한곳 북한강 뷰가 아름다운 신선봉 순환...,https://blog.naver.com/behappy1004life/224301889165
2273,domestic_travel,가평,설악IC,candidate,1,가평 설악IC 근처 한식 맛집 미락가 후기｜아이랑 부모님...,https://blog.naver.com/dolpang79/224298501329
2274,domestic_travel,가평,설악IC 근처 한식 맛집,restaurant,1,가평 설악IC 근처 한식 맛집 미락가 후기｜아이랑 부모님...,https://blog.naver.com/dolpang79/224298501329
2275,domestic_travel,가평,설악IC 근처 한식 맛집 미락가,restaurant,1,가평 설악IC 근처 한식 맛집 미락가 후기｜아이랑 부모님...,https://blog.naver.com/dolpang79/224298501329
2276,domestic_travel,가평,설악IC맛집,restaurant,1,가평 설악IC 근처 한식 맛집 미락가 후기｜아이랑 부모님...,https://blog.naver.com/dolpang79/224298501329
2277,domestic_travel,인천,섬 여행 당일치기 출발하고 나면 선내,candidate,1,인천 섬여행 당일치기 연안부두 팔미도유람선 가격 주차,https://blog.naver.com/noh_heeah/224301485345
2278,domestic_travel,인천,섬여행,candidate,1,인천 섬여행 당일치기 연안부두 팔미도유람선 가격 주차,https://blog.naver.com/noh_heeah/224301485345
2279,domestic_travel,인천,섬여행 당일치기 명소가 있다고 해서 다녀왔어,candidate,1,인천 섬여행 당일치기 연안부두 팔미도유람선 가격 주차,https://blog.naver.com/noh_heeah/224301485345
