rank,term,count,keywords,sample_titles,sample_links
11,성수팝업스토어,100,더현대 팝업|서울 팝업스토어|성수 데이트|성수 맛집|성수 카페|성수 팝업,[pop-up] 일리고 (illigo) 성수 팝업 hs preview 핫썸머 신상... | [트렌드 LAB] 성수 세븐틴 미니틴 팝업 1층 카페 방문후기 | [맛집] 성수 현방오백소갈비살 (바로 입장),https://blog.naver.com/coolcoc93/224301794265 | https://blog.naver.com/teundspacegure/224300601900 | https://blog.naver.com/jimingticon/224300554147
12,서울팝업스토어,81,더현대 팝업|서울 데이트|서울 데이트 코스|서울 맛집|서울 팝업스토어|성수 데이트|성수 카페|성수 팝업|잠실 맛집|잠실 카페,성수 팝업｜영등포 베이글 맛집 테디스베이글 곰돌이 키링... | 잠실 메이플스토리 팝업 후기｜롯데월드몰부터 석촌호수까지... | 여의도 더현대 서울 미소를 부르는 맛있는 한입! 5/29~6/4 팝업...,https://blog.naver.com/ezzung_/224301161734 | https://blog.naver.com/pororo96_/224301114873 | https://blog.naver.com/evtmedia/224300456431
13,신사,79,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,호잇~ 호잇~.. 초능력 내 친구 | 서울 행사 추천｜가로수길 디자인 위크 정보 총정리 | 신사카페 추천 가로수길디저트 파이맛집 따우전드 신사점,https://blog.naver.com/doyeonidayo/224301542704 | https://blog.naver.com/drawingmaza/224301413558 | https://blog.naver.com/u_sweet/224301272071
14,더현대서울,73,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,"[더현대 서울 ] 전시 렘브란트에서 고야까지 후기 | 전주빵집 송해븐 건강빵 4종 받아봤는데 이건 진짜 찐맛집이에요 | 더현대 서울 팝업 추천｜유엘... 후기, 유엘 팝업스토어 방문기",https://blog.naver.com/eess0609/224301010302 | https://blog.naver.com/alltimehome/224301510470 | https://blog.naver.com/heidi7121/224301426907
15,송파,63,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,"킨코스 문정센터 오픈! 문정동 24시 출력부터 제본까지 완벽한... | 석촌호수 메이플 스토리: 23주년 대규모 오프라인 이벤트... | 서울 송파 스몰웨딩, 필수 가이드",https://blog.naver.com/dudwl40929/224301783078 | https://blog.naver.com/oa2020/224301734803 | https://blog.naver.com/zlqly41577_ru/224301509662
16,판교,61,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,[#성남카페 #판교카페 #판교대형카페 #판교케익 #판교디저트... | 판교 아이랑 현대백화점 어린이책미술관 실내 가볼만한곳 주차... | 영남대로의 첫 관문 영남길 제 1길 달래내고개길,https://blog.naver.com/yhg9218/224301702146 | https://blog.naver.com/yoonsoul730/224301495901 | https://blog.naver.com/choeyoyo/224301449190
17,마포,53,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,망원동 맛집 타코닷 푸짐하게 즐길 수 있는 힙한 타코집 | [마포] 난 비가 오면 빵사냥을 나가 | 연남 버터베이커리... | 홍대 이목동그릇 /이경한도자기,https://blog.naver.com/ddo1993/224301813464 | https://blog.naver.com/yingshu_pick/224301777844 | https://blog.naver.com/skyfox_1004/224301772335
18,인천,53,무료 전시|서울 전시|서울 팝업스토어|성수 팝업,[GM/쉐보레]인천계양구 쉐보레 대리점_외관감상기(2026년... | 센트럴파크 송도 | 탄소중립 청년서포터즈 '인천업사이클에코센터'를 견학하다!,https://blog.naver.com/club8383/224301818478 | https://blog.naver.com/ljharchive/224301714223 | https://blog.naver.com/hermes_nhj/224301690905
19,종로,53,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,"서울 전시 회 데이트 김창열 화가의 집 '물방울 화가 작업실... | MMCA 서울 상설전 「한국현대미술 하이라이트」 관람 감상문 | [ 서울 /종로 ] 나만 알고 싶은 북카페, ‘학사다방’ 솔직 후기",https://blog.naver.com/lsy3225/224301807512 | https://blog.naver.com/hwangdagyeom/224301805753 | https://blog.naver.com/dumboooo_/224301780993
20,코엑스,49,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,2026년 코스모뷰티 서울 코엑스에서 만난 뷰티트렌드 현장 | 서울 사찰 봉은사 부처님오신날 연등 보러 가볼만한곳 추천... | 서울 청담 코엑스 인터컨티넨탈 호텔 예식꽃 구매하기전...,https://blog.naver.com/jeong-won-beauty/224301805270 | https://blog.naver.com/jiklovelove/224301801880 | https://bulgogibros.tistory.com/210
21,압구정,48,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,"전시 도 보고 에이드도 즐긴 압구정카페 안목 갤러리 방문 후기 | 국내 와그작케이크 원조 압구정 파티세리후르츠 납작복숭아... | 압구정로데오역 카페, 안목 갤러리 Anmok Gallery",https://blog.naver.com/syaysa1/224301675008 | https://blog.naver.com/rhepcldk/224301763160 | https://blog.naver.com/tjgl0626/224301712423
22,뚝섬,47,무료 전시|서울 전시|서울 팝업스토어|성수 팝업,2026 서울 국제정원박람회 야간개장: 낮보다 아름다운 서울 숲... | [성수 팝업] 성수동 핫플 정복✨ 포켓몬메가페스타부터... | 성수동 남자 스트릿 패션 주얼리 브랜드 킹크로치 데우스 매장...,https://blog.naver.com/owkkra/224301601062 | https://blog.naver.com/yoochunkun/224297103588 | https://blog.naver.com/bemasoul123/224301797781
23,서울팝업,47,더현대 팝업|서울 데이트|서울 데이트 코스|서울 맛집|서울 전시|서울 팝업스토어|성수 데이트|성수 팝업|한남동 데이트|한남동 카페,EPT 성수 쇼룸 - 이피티 운동화 신어볼 수 있는 매장 ! 성수... | 여의도 맛집 더현대 서울 5월 6월 디저트 팝업 | 시나몬하우스... | 쿠팡 콜라보클럽 팝업스토어 후기 | 알차게 즐긴 방문기,https://blog.naver.com/230708gw/224296111862 | https://blog.naver.com/soruhi_507/224300755003 | https://blog.naver.com/erange11/224301659073
24,성수동팝업,47,더현대 팝업|서울 데이트|서울 데이트 코스|서울 전시|서울 팝업스토어|성수 데이트|성수 맛집|성수 팝업,"베이글 성수 팝업! 알고보니 영등포 베이글 맛집 ?... | 2026 포켓몬 메가페스타 일정부터 한정판 굿즈 종류까지 총정리 | 포켓몬고 하면서 즐긴 서울 숲, 성수동 포켓몬스터 30주년 팝업...",https://blog.naver.com/sjn1203/224301482871 | https://blog.naver.com/reviewer69/224301803363 | https://blog.naver.com/j_o2_f/224301644321
25,더현대팝업,43,더현대 팝업|서울 맛집|서울 팝업스토어,더현대 서울 팝업 5월 5주차 총정리 | 지하1층 테이스티 서울 ... | 더현대 서울 디저트 팝업 5.29 - 6. 4 보따리제과점 돌하르밥... | [ 팝업 ] 퓨어파이브 향수 더현대 팝업 향수 팝업,https://blog.naver.com/c_ong-/224300868537 | https://blog.naver.com/loranzi/224300679149 | https://blog.naver.com/seyoungx_x/224301278904
26,더현대서울팝업,41,더현대 팝업|서울 맛집|서울 팝업스토어|성수 데이트|성수 팝업,더현대 서울 팝업 5월 5주차 총정리 | 지하1층 테이스티 서울 ... | 더현대 서울 디저트 팝업 5.29 - 6. 4 보따리제과점 돌하르밥... | 여의도 더현대 서울 미소를 부르는 맛있는 한입! 5/29~6/4 팝업...,https://blog.naver.com/c_ong-/224300868537 | https://blog.naver.com/loranzi/224300679149 | https://blog.naver.com/evtmedia/224300456431
27,삼성,41,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,"2026년 6월 가볼만한 축제일정 | 2026 내추럴위크 박람회 일정·입장료·코엑스 마곡 위치까지... | 삼성 이병철·이건희 회장이 사랑한 화가, '한국의 몬드리안...",https://blog.naver.com/sundry77/224301737999 | https://blog.naver.com/voicecontrol/224301681667 | https://blog.naver.com/jordanam/224301668470
28,명동,36,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,"명동역맛집 채움한정식, 정갈한 한 상으로 대접받는 행복한 시간 | 남산골 한옥마을-예장동 일대-명동역 | 국가유산 전라감영(全羅監營) · 풍남문(豊南門) · 경기전...",https://blog.naver.com/sosoyou1212/224301828407 | https://blog.naver.com/sekim-1107/224301795126 | https://blog.naver.com/jcjkks/224301721285
29,고양,35,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,썬샤인오피스 :: 2026 궁디팡팡 캣페스타 Seoul | 2025년 직장인을 위한 경기가볼만한곳 7곳 | 서울 의 봄을 함께 했던 2026년 3월,https://blog.naver.com/gdppcat/224296798744 | https://dwqn.tistory.com/243 | https://blog.naver.com/godbok7s2/224301797126
30,분당,35,더현대 팝업|무료 전시|서울 전시|서울 팝업스토어|성수 팝업,강남역 디저트 카페 추천 셀렉티드 닉스 티라미수 루프탑 감성... | 서울 양재 aT센터 2026 K푸드쇼 일정 대중교통 볼거리 안내 | 국내 와그작케이크 원조 압구정 파티세리후르츠 납작복숭아...,https://blog.naver.com/ghdidudgms/224301820912 | https://blog.naver.com/skdmlqkd_88/224301688984 | https://blog.naver.com/rhepcldk/224301763160
31,서울전시,35,더현대 팝업|무료 전시|서울 데이트 코스|서울 전시|서울 팝업스토어|성수 데이트|성수 팝업|한남동 데이트,"추천 그라운드시소 센트럴 맥스 시덴토프 개인전 서울 역 전시 | 중랑아트센터 《뉴-미디어의 재해-석》: 예술, AI를 만나... | 서울숲 서울 국제정원박람회&포켓몬 30주년 프로젝트 방문 후기",https://blog.naver.com/yerim8482/224301765214 | https://blog.naver.com/trueranger/224301545994 | https://blog.naver.com/adorable557/224281592654
32,석촌,34,무료 전시|서울 전시|서울 팝업스토어|성수 팝업,만도와 그로구 그리고 자네 - 5월 일상 | 석촌호수 메이플 스토리: 23주년 대규모 오프라인 이벤트... | [ 서울 ] 석촌호수에 주황버섯이 나타났다고? 메이플스토리 팝업...,https://blog.naver.com/ally010308/224301797085 | https://blog.naver.com/oa2020/224301734803 | https://blog.naver.com/oreobox22/224301569233
33,동대문,33,무료 전시|서울 전시|서울 팝업스토어|성수 팝업,"골동품에 빠진 MZ, 답십리 고미술상가 | 동대문 DDP 나들이, 서울 시 마스코트 해치 굿즈 쇼핑과 시원한... | 선농단역사문화관에서 발견한 겨레얼!",https://blog.naver.com/denmagazine/224300005590 | https://blog.naver.com/justjust009/224301688347 | https://blog.naver.com/purejoy/224301675544
