rank,date,window_start,window_end,category,region,candidate_name,display_name,official_place_name,event_name,alias_name,match_type,candidate_type,naver_place_category,blog_post_count,weekly_total_count,active_days,weekly_average,today_count,previous_average,previous_6_day_average,daily_increase,lift,match_score,weekly_hot_score,hot_score,address,roadAddress,mapx,mapy,naver_place_link,sample_titles,sample_links
11,2026-05-31,2026-05-25,2026-05-31,domestic_travel,강릉,사근진해변,사근진해변,사근진해변,,,exact_place,travel_spot,"여행,명소>해수욕장,해변",2,2,1,0.29,2,0.00,0.00,2.00,4.00,90,2.06,2.06,강원특별자치도 강릉시 안현동 2-7,강원특별자치도 강릉시 해안로604번길 16,1288990719,378128825,http://sagunjin.co.kr,[강릉 여행 ]엄마와 함께 떠난 강원도 강릉 2박3일/1일차|6월의 강원 추천 여행 지는? 강릉 단오제! 화천 파크골프장!,https://blog.naver.com/pricuae123/224301699781|https://blog.naver.com/gwdoraeyo/224297862469
12,2026-05-31,2026-05-25,2026-05-31,food,광주,생고기,남도 생고기,남도 생고기,,,exact_place,restaurant,"한식>육류,고기요리",2,2,1,0.29,2,0.00,0.00,2.00,4.00,90,2.06,2.06,광주광역시 서구 쌍촌동 1362-5 남도생고기,광주광역시 서구 상일로 4-1 남도생고기,1268632015,351559258,,꽃보다청춘 광주 생고기 맛집 & 또아식빵 정보|[꽃보다청춘 광주 생고기 맛집]꽃보다청춘 광주 서구 생고기...,https://blog.naver.com/tts84/224301904375|https://blog.naver.com/justlaben/224301916048
13,2026-05-31,2026-05-25,2026-05-31,domestic_travel,대전,중앙시장,중앙시장,중앙시장,,,exact_place,travel_spot,"쇼핑,유통>시장",2,2,1,0.29,2,0.00,0.00,2.00,4.00,90,2.06,2.06,대전광역시 동구 중동 317,대전광역시 동구 중앙로 200-1,1274319380,363298389,,대전|대전중앙시장 내돈내산 맛집 리스트 솔이네계란빵...|대전이 이렇게 좋았어? 당일치기 여행 코스 Best5,https://blog.naver.com/mugja30/224301865406|https://blog.naver.com/whqufdl37/224301687117
14,2026-05-31,2026-05-25,2026-05-31,food,종로,광장시장,광장시장,광장시장,,,exact_place,travel_spot,"쇼핑,유통>시장",3,3,2,0.43,2,1.00,0.17,1.83,1.33,90,2.04,2.04,서울특별시 종로구 예지동 2-1,서울특별시 종로구 창경궁로 88,1269990691,375701661,http://kwangjangmarket.co.kr/,"광장시장 자매육회집 육회비빕밥 후기|광장시장 맛집 전라도횟집 내돈내산 후기｜모둠회 2인 25...|광장시장 먹거리 투어 후기, 줄 서서 먹은 맛집 4곳",https://blog.naver.com/veritavitia/224301838148|https://blog.naver.com/oburi-/224301407518|https://blog.naver.com/yellowbabo/224301203451
15,2026-05-31,2026-05-25,2026-05-31,food,강남,파인다이닝,파인다이닝,정식당,,파인다이닝,alias_match,restaurant,음식점>한식,2,2,1,0.29,2,0.00,0.00,2.00,4.00,50,1.14,1.14,서울특별시 강남구 청담동 83-24,서울특별시 강남구 선릉로158길 11,1270410861,375256529,https://www.jungsik.kr,청담 상견례 맛집 추천 문보핫팟 파인다이닝|강남역 녘(Nyeock) 솔직 후기 — 내 청첩장을 전하던 날,https://blog.naver.com/6607144/224299479151|https://blog.naver.com/buyhan1/224301702813
16,2026-05-31,2026-05-25,2026-05-31,domestic_travel,부산,광안리어방축제,광안리어방축제,광안리어방축제,,,exact_place,attraction,"여행,명소>축제,행사",2,2,2,0.29,,,0.17,0.83,,90,1.01,1.01,부산광역시 수영구 광안동 281-6,,1291174637,351519378,,"광안리어방축제 2026 완벽 정리, 일정부터 프로그램, 꿀팁까지...|2026 광안리 어방축제 : 일정,프로그램,어방포차 메뉴 및 주차...",https://blog.naver.com/zzz-trucker/224300675929|https://blog.naver.com/moondrift/224301904724
17,2026-05-31,2026-05-25,2026-05-31,domestic_travel,대전,대청호 장미축제,대청호 장미축제,대청호 반자연수변공원,대청호 장미축제,,event_on_place,attraction,"여행,명소>도시,테마공원",3,3,2,0.43,2,1.00,0.17,1.83,1.33,40,0.9,0.9,대전광역시 동구 추동 328,,1274743212,363727846,,대청호 장미축제 실시간 개화현황과 무료 주차 꿀팁 총정리|대청호 장미축제는 지금 장미꽃들이 만개 중♡|“ 서울 보다 덜 알려져 더 예쁜 대전 대청호 장미축제”,https://blog.naver.com/issueletter365/224301618826|https://blog.naver.com/angel79satan/224301819560|https://blog.naver.com/3050035/224295646828
18,2026-05-31,2026-05-25,2026-05-31,domestic_travel,가평,아침고요수목원 수국축제,아침고요수목원 수국축제,아침고요수목원,아침고요수목원 수국축제,,event_on_place,attraction,"여행,명소>식물원,수목원",2,2,2,0.29,,,0.17,0.83,,50,0.56,0.56,경기도 가평군 상면 행현리 623-3,경기도 가평군 상면 수목원로 432,1273525250,377427259,https://www.instagram.com/morningcalm_garden/,아침고요수목원 수국축제 2026! 기간·찾아가는 길·포토스팟...|가평 아침고요수목원 수국축제 다녀온 후기 사진으로 보던...,https://blog.naver.com/myeong0820/224301121414|https://blog.naver.com/nana_school/224301394724
19,2026-05-31,2026-05-25,2026-05-31,domestic_travel,가평,자라섬 꽃축제,자라섬 꽃축제,자라섬 불 꽃축제,자라섬 꽃축제,,event_on_place,attraction,"여행,명소>꽃축제",7,7,2,1.00,,,1.00,0.00,,50,0.5,0.5,경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,가평 자라섬 꽃축제 2026 총정리｜남도꽃정원 봄꽃페스타...|자라섬 꽃축제 2026 방문 전 꼭 볼 입장료·주차·꽃 절정 타이밍|자라섬 꽃축제 2026 지금 가기 전 꼭 볼 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 될까? 일정·입장료·셔틀...|자라섬 꽃축제 2026 지금 가도 좋을까? 입장료·개화시기·동선...,https://blog.naver.com/123whywhy/224299354360|https://blog.naver.com/yhking119/224299046910|https://blog.naver.com/flemznls1/224298925262|https://blog.naver.com/betterthanever0810/224298653145|https://blog.naver.com/kim582777/224298626268
20,2026-05-31,2026-05-25,2026-05-31,domestic_travel,가평,봄꽃축제,아침고요수목원 봄나들이 봄꽃축제,아침고요수목원 봄나들이 봄꽃축제,,,exact_place,attraction,"여행,명소>꽃축제",3,3,3,0.43,,,0.50,0.00,,90,0.39,0.39,경기도 가평군 상면 임초리 629-13,,1273521916,377425540,http://korean.visitkorea.or.kr/kor/inut/where/festival/festival.jsp?cid=989991,2026 자라섬 꽃페스타 가평 꽃축제 후기 (입장료·주차...|서울 근교 꽃구경 추천! 가평 자라섬 꽃 페스타에서 만나는...|2026 자라섬 꽃 페스타 다녀왔어요! 지금이 가장 예쁠 때,https://blog.naver.com/mmmmbin/224300575415|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/kyju6507/224297372051
21,2026-05-31,2026-05-25,2026-05-31,domestic_travel,가평,자라섬꽃축제,자라섬꽃축제,자라섬 불 꽃축제,자라섬꽃축제,,event_on_place,attraction,"여행,명소>꽃축제",4,4,2,0.57,,,0.67,0.00,,50,0.29,0.29,경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,2026 자라섬 꽃 페스타 총정리｜위치·기간·입장료·주차...|서울 근교 꽃구경 추천! 가평 자라섬 꽃 페스타에서 만나는...|2026 자라섬 꽃 페스타 꽃축제|일정 주차 할인 꿀팁|가평 가볼만한곳 추천 2026 자라섬 꽃축제 다녀온 후기,https://blog.naver.com/boxbox45/224300172384|https://blog.naver.com/usi345/224299351255|https://blog.naver.com/nizekk/224299703527|https://blog.naver.com/sitimibi85/224297294108
22,2026-05-31,2026-05-25,2026-05-31,domestic_travel,가평,고고다이노 키즈호텔,고고다이노 키즈호텔,고고다이노 키즈호텔,,,exact_place,travel_spot,숙박>펜션,2,2,2,0.29,,,0.33,0.00,,90,0.26,0.26,경기도 가평군 설악면 사룡리 595-3 고고다이노 키즈호텔,경기도 가평군 설악면 자잠로 229 고고다이노 키즈호텔,1274881086,376944931,http://gogodinokids-hotel.kr/,서울근교 여행 가평 고고다이노 키즈호텔 특가 예약(테마룸...|고고다이노 키즈호텔 첫 단독 특가 52% 할인 32 → 14만...,https://blog.naver.com/shy0917cjh/224300583214|https://blog.naver.com/bean_urse/224298476039
23,2026-05-31,2026-05-25,2026-05-31,domestic_travel,가평,경기도꽃축제,경기도꽃축제,자라섬불 꽃축제,경기도꽃축제,,event_on_place,attraction,"여행,명소>꽃축제",2,2,2,0.29,,,0.33,0.00,,50,0.14,0.14,경기도 가평군 가평읍 대곡리 27-14,경기도 가평군 가평읍 자라섬로 60,1275231630,378182034,,2026 자라섬 꽃 페스타 총정리｜위치·기간·입장료·주차...|2026 자라섬 꽃 페스타 다녀왔어요! 지금이 가장 예쁠 때,https://blog.naver.com/boxbox45/224300172384|https://blog.naver.com/kyju6507/224297372051
